date,consumption_kwh,is_workday
2025-12-01,457.62,1
2025-12-02,424.0,1
2025-12-03,468.76,1
2025-12-04,473.51,1
2025-12-05,401.22,1
2025-12-06,47.45,0
2025-12-07,83.2,0
2025-12-08,442.09,1
2025-12-09,449.58,1
2025-12-10,428.67,1
2025-12-11,471.98,1
2025-12-12,469.44,1
2025-12-13,81.65,0
2025-12-14,108.18,0
2025-12-15,431.69,0
2025-12-16,398.52,0
2025-12-17,429.22,0
2025-12-18,396.03,0
2025-12-19,441.96,0
2025-12-20,418.75,0
2025-12-21,415.38,0
2025-12-22,432.98,1
2025-12-23,480.56,1
2025-12-24,446.14,1
2025-12-25,439.29,1
2025-12-26,441.2,1
2025-12-27,93.31,0
2025-12-28,89.14,0
2025-12-29,460.32,1
2025-12-30,460.77,1
2025-12-31,503.54,1
