date,consumption_kwh,water_m3,heat_gcal,is_workday
2025-12-01,457.62,11.17,3.31,1
2025-12-02,473.51,10.44,3.0,1
2025-12-03,453.2,11.75,3.2,1
2025-12-04,428.67,12.7,3.32,1
2025-12-05,451.65,12.9,3.27,1
2025-12-06,58.52,1.3,2.86,0
2025-12-07,101.96,0.96,2.97,0
2025-12-08,432.98,12.98,3.18,1
2025-12-09,439.29,11.72,3.28,1
2025-12-10,459.14,12.33,3.26,1
2025-12-11,503.54,11.67,3.12,1
2025-12-12,429.66,12.49,3.37,1
2025-12-13,77.15,0.33,2.88,0
2025-12-14,96.26,1.59,3.08,0
2025-12-15,403.36,9.69,3.02,0
2025-12-16,425.47,10.2,3.03,0
2025-12-17,436.97,9.55,3.04,0
2025-12-18,435.78,8.33,2.95,0
2025-12-19,408.24,8.99,2.96,0
2025-12-20,457.37,8.81,3.15,0
2025-12-21,377.93,9.23,3.02,0
2025-12-22,464.66,12.57,3.32,1
2025-12-23,441.28,11.63,3.33,1
2025-12-24,445.22,10.98,3.03,1
2025-12-25,427.01,12.4,3.22,1
2025-12-26,467.26,11.66,3.22,1
2025-12-27,95.64,0.75,3.07,0
2025-12-28,63.45,0.71,2.94,0
2025-12-29,420.1,12.39,3.13,1
2025-12-30,450.31,12.38,3.27,1
2025-12-31,466.63,11.92,3.14,1
